system_id,ghi_W_m2_n,ghi_W_m2_min,ghi_W_m2_p01,ghi_W_m2_p50,ghi_W_m2_p99,ghi_W_m2_max,ghi_W_m2_mean,ghi_W_m2_negative_pct,dni_W_m2_n,dni_W_m2_min,dni_W_m2_p01,dni_W_m2_p50,dni_W_m2_p99,dni_W_m2_max,dni_W_m2_mean,dni_W_m2_negative_pct,dhi_W_m2_n,dhi_W_m2_min,dhi_W_m2_p01,dhi_W_m2_p50,dhi_W_m2_p99,dhi_W_m2_max,dhi_W_m2_mean,dhi_W_m2_negative_pct,solar_zenith_deg_n,solar_zenith_deg_min,solar_zenith_deg_p01,solar_zenith_deg_p50,solar_zenith_deg_p99,solar_zenith_deg_max,solar_zenith_deg_mean,solar_zenith_deg_negative_pct,solar_elevation_deg_n,solar_elevation_deg_min,solar_elevation_deg_p01,solar_elevation_deg_p50,solar_elevation_deg_p99,solar_elevation_deg_max,solar_elevation_deg_mean,solar_elevation_deg_negative_pct,solar_azimuth_deg_n,solar_azimuth_deg_min,solar_azimuth_deg_p01,solar_azimuth_deg_p50,solar_azimuth_deg_p99,solar_azimuth_deg_max,solar_azimuth_deg_mean,solar_azimuth_deg_negative_pct,poa_synthetic_W_m2_n,poa_synthetic_W_m2_min,poa_synthetic_W_m2_p01,poa_synthetic_W_m2_p50,poa_synthetic_W_m2_p99,poa_synthetic_W_m2_max,poa_synthetic_W_m2_mean,poa_synthetic_W_m2_negative_pct,poa_beam_W_m2_n,poa_beam_W_m2_min,poa_beam_W_m2_p01,poa_beam_W_m2_p50,poa_beam_W_m2_p99,poa_beam_W_m2_max,poa_beam_W_m2_mean,poa_beam_W_m2_negative_pct,poa_sky_diffuse_W_m2_n,poa_sky_diffuse_W_m2_min,poa_sky_diffuse_W_m2_p01,poa_sky_diffuse_W_m2_p50,poa_sky_diffuse_W_m2_p99,poa_sky_diffuse_W_m2_max,poa_sky_diffuse_W_m2_mean,poa_sky_diffuse_W_m2_negative_pct,poa_ground_diffuse_W_m2_n,poa_ground_diffuse_W_m2_min,poa_ground_diffuse_W_m2_p01,poa_ground_diffuse_W_m2_p50,poa_ground_diffuse_W_m2_p99,poa_ground_diffuse_W_m2_max,poa_ground_diffuse_W_m2_mean,poa_ground_diffuse_W_m2_negative_pct
10,4492,0.0,0.0,389.5,973.1800000000003,1040.0,399.2655832591273,0.0,4492,0.0,0.0,589.1500000000001,1025.227,1063.7,516.411553873553,0.0,4492,0.0,0.0,89.0,345.09000000000015,580.0,104.48219056099732,0.0,4492,16.31190139810333,18.67298915898948,63.1393475211531,105.228096871478,108.58350516893704,62.40247096196223,0.0,4492,-18.58350516893704,-15.228096871478012,26.860652478846895,71.32701084101055,73.68809860189667,27.59752903803777,12.889581478183437,4492,62.20164466516974,63.659959726949744,166.21321983433734,277.44377277571857,279.5812225017588,169.6694190583933,0.0,4492,0.0,0.0,451.634869740923,1083.7160862898372,1176.715476124267,463.89577729441123,0.0,4492,0.0,0.0,323.69769298916646,984.5409933973414,1052.924756080129,362.294641084356,0.0,4492,0.0,0.0,92.13500446220567,317.0612624133165,530.4716086082876,101.60113621005524,0.0,4492,0.0,0.0,9.112568940515807,22.768086884547305,24.331377915626287,9.34104018748152,0.0
34,1393,0.0,0.0,311.0,930.1599999999999,961.0,341.7695620961953,0.0,1393,0.0,0.0,635.4,972.5679999999999,985.9,529.1839913854989,0.0,1393,0.0,0.0,74.0,223.07999999999993,269.0,67.81765972720747,0.0,1393,26.626993549055925,29.575646557613993,67.45678046133678,108.44030285787598,108.5859801625108,68.71235736934136,0.0,1393,-18.585980162510808,-18.440302857875977,22.543219538663223,60.42435344238601,63.37300645094408,21.28764263065863,15.506101938262743,1393,76.05083511215031,80.83198211277454,172.72360132990264,268.2632414855146,271.8549562053572,178.57314143562976,0.0,1393,0.0,0.0,362.7656850918678,1002.9639395537071,1032.217800828849,382.5463003110793,0.0,1393,0.0,0.0,257.52761544675246,905.0695058170602,929.3588783350976,314.72353415926517,0.0,1393,0.0,0.0,74.10855561450961,221.76735312728763,267.6782877812339,67.82276615181414,0.0,1393,0.0,0.0,0.5922946686401434,1.7714752700396001,1.830209570942694,0.6508948216496878,0.0
1239,2470,0.0,0.0,324.0,887.31,933.0,355.6255060728745,0.0,2470,0.0,0.0,267.54999999999995,914.231,951.9,341.403076923077,0.0,2470,0.0,0.0,122.0,382.6199999999999,432.0,143.80242914979758,0.0,2470,23.816988871265597,24.2106127563199,52.41534988609199,92.30585562992653,97.39894154478309,54.182914983332,0.0,2470,-7.39894154478307,-2.3058556299265467,37.58465011390801,65.7893872436801,66.1830111287344,35.817085016667995,1.862348178137652,2470,67.62567928676452,68.0432591161188,165.27819805684754,280.5706792636826,281.0162780438427,171.30760242623924,0.0,2470,0.0,0.0,326.5499166319003,948.2345285281991,995.9302455011884,371.7253884197616,0.0,2470,0.0,0.0,121.00767917519994,822.8461539407399,876.4039979069503,228.47502522816634,0.0,2470,0.0,0.0,121.59267270662554,380.6123445605632,429.4325102590632,143.25036319159526,0.0,2470,0.0,0.0,0.4922288024044601,1.3480232674737702,1.4174366439609918,0.5402750523417627,0.0
1430,1592,0.0,0.0,460.0,1011.0,1040.0,455.4861809045226,0.0,1592,0.0,0.0,605.95,1029.527,1053.5,526.4332914572865,0.0,1592,0.0,0.0,106.0,371.17999999999984,545.0,119.71042713567839,0.0,1592,16.31548587153756,17.359869045590433,55.833880966490916,103.03267795512747,105.34897712037346,56.28564603233548,0.0,1592,-15.34897712037346,-13.032677955127495,34.166119033509084,72.64013095440956,73.68451412846244,33.71435396766452,8.417085427135678,1592,62.201513714533576,62.804014118782305,154.1631624678206,278.5420328485435,279.5789790326112,166.0019573147314,0.0,1592,0.0,0.0,659.8664325018347,1043.212571239874,1060.78603616774,570.6953529468282,0.0,1592,0.0,0.0,502.08360910258114,938.9813737212681,953.0518886124688,454.49423322607294,0.0,1592,0.0,0.0,106.19204989260922,353.6510075337799,544.8533097399121,116.2011197207552,0.0,1592,0.0,0.0,5.011765375417705,29.033573537258633,38.40237712646853,8.334958727290454,0.0
