system_id,timestamp,ac_power,poa_irradiance,ambient_temp,sin_hora,cos_hora,sin_dia_anual,cos_dia_anual,capacidad_instalada_kw,eficiencia,eficiencia_predicha,ac_power_predicha
10,2010-10-22 18:00:00,-0.2688616666666666,-1.45468,9.219743333333334,-1.0,-1.8369701987210294e-16,-0.9338372288229252,0.3576982388331254,1.12,-0.24005505952380946,4.735626434582102,5.303901606731954
10,2010-10-23 06:00:00,1.226215,8.90552,6.642513333333333,1.0,6.123233995736766e-17,-0.9275416835791964,0.3737197147904692,1.12,1.0948348214285715,-36.784197633682695,-41.19830134972462
10,2010-10-23 07:00:00,22.2018,43.79743333333333,7.118446666666667,0.9659258262890684,-0.2588190451025206,-0.9275416835791964,0.3737197147904692,1.12,19.823035714285712,3.174875984356376,3.5558611024791413
10,2010-10-23 08:00:00,177.15238333333335,192.8742,9.49787,0.8660254037844387,-0.4999999999999998,-0.9275416835791964,0.3737197147904692,1.12,158.17177083333334,123.43518287713917,138.24740482239588
10,2010-10-23 09:00:00,612.85,622.8941666666667,12.688666666666668,0.7071067811865476,-0.7071067811865475,-0.9275416835791964,0.3737197147904692,1.12,547.1875,473.55895040631486,530.3860244550727
10,2010-10-23 10:00:00,384.8136666666667,391.4476666666667,14.10665,0.4999999999999999,-0.8660254037844387,-0.9275416835791964,0.3737197147904692,1.12,343.58363095238093,268.3637187300846,300.5673649776948
10,2010-10-23 11:00:00,455.48283333333336,461.937,14.881183333333333,0.258819045102521,-0.9659258262890682,-0.9275416835791964,0.3737197147904692,1.12,406.68110119047617,334.55626334620547,374.70301494775015
10,2010-10-23 12:00:00,887.2678333333333,929.9583333333334,16.43795,1.2246467991473532e-16,-1.0,-0.9275416835791964,0.3737197147904692,1.12,792.2034226190475,770.3329125170571,862.7728620191041
10,2010-10-23 13:00:00,880.995,918.4225,16.831599999999998,-0.2588190451025208,-0.9659258262890684,-0.9275416835791964,0.3737197147904692,1.12,786.6026785714286,791.6294849437039,886.6250231369485
10,2010-10-23 14:00:00,537.1831833333333,554.7211666666666,15.695233333333334,-0.4999999999999997,-0.8660254037844388,-0.9275416835791964,0.3737197147904692,1.12,479.6278422619047,485.6059517512065,543.8786659613513
10,2010-10-23 15:00:00,429.2886666666666,454.7543333333333,15.0224,-0.7071067811865471,-0.7071067811865479,-0.9275416835791964,0.3737197147904692,1.12,383.29345238095226,419.72073733324714,470.08722581323684
10,2010-10-23 16:00:00,36.638915,59.93599666666667,13.477666666666666,-0.8660254037844385,-0.5000000000000004,-0.9275416835791964,0.3737197147904692,1.12,32.71331696428571,44.643155137306486,50.000333753783266
10,2010-10-23 17:00:00,-0.2431033333333333,-0.1430466666666667,13.096566666666666,-0.9659258262890684,-0.2588190451025206,-0.9275416835791964,0.3737197147904692,1.12,-0.21705654761904758,-8.314434688600969,-9.312166851233085
10,2010-10-23 18:00:00,-0.2656533333333333,-1.753915,13.10485,-1.0,-1.8369701987210294e-16,-0.9275416835791964,0.3737197147904692,1.12,-0.23719047619047615,-11.631904631929203,-13.027733187760708
10,2010-10-24 06:00:00,43.58796,66.89274,8.537115,1.0,6.123233995736766e-17,-0.9209712877166348,0.3896304495307877,1.12,38.91782142857143,3.9390963772056864,4.411787942470369
10,2010-10-24 07:00:00,264.59545,290.1115,11.922051666666666,0.9659258262890684,-0.2588190451025206,-0.9209712877166348,0.3896304495307877,1.12,236.2459375,182.2519486115326,204.12218244491655
10,2010-10-24 08:00:00,351.8333333333333,370.5163333333333,13.460833333333332,0.8660254037844387,-0.4999999999999998,-0.9209712877166348,0.3896304495307877,1.12,314.1369047619047,243.98384136911147,273.26190233340486
