measured_on,ac_power_metered_kw__3015,ambient_temp_f__3016,module_temp_f__3019,poa_irradiance__3018,relative_humidity__3017,total_energy_kwh__3022,wind_direction__3021,wind_speed_mph__3020,system_id
2012-01-01 06:00:00,0.0,24.628,25.39,0.0,95.781,3445.36,0.0,0.0,1239
2012-01-01 06:15:00,0.02,24.263,25.48,2.356,95.687,3445.36,0.0,0.0,1239
2012-01-01 06:30:00,0.02,24.506,25.51,0.0,95.406,3445.36,0.067,0.0,1239
2012-01-01 06:45:00,0.02,24.425,25.67,0.785,95.619,3445.36,0.0,0.0,1239
2012-01-01 07:00:00,0.0,24.567,25.75,5.236,95.738,3445.36,0.3599999999999999,0.0,1239
2012-01-01 07:15:00,0.0,25.043,25.84,2.094,96.044,3445.36,0.0,0.0,1239
2012-01-01 07:30:00,0.0,25.296,25.99,2.443,95.288,3445.36,0.0,0.0,1239
2012-01-01 07:45:00,0.02,25.489,26.21,4.887,95.156,3445.36,0.495,0.0,1239
2012-01-01 08:00:00,0.02,25.104,26.29,13.788,95.131,3445.38,0.0,0.0,1239
2012-01-01 08:15:00,0.0,25.357,26.4,16.755,94.319,3445.38,0.0,0.0,1239
2012-01-01 08:30:00,0.0,25.144,26.55,22.864,94.9,3445.38,0.0,0.019,1239
2012-01-01 08:45:00,0.0,25.175,26.68,20.682,94.525,3445.38,0.0,0.0,1239
2012-01-01 09:00:00,0.0,25.367,26.72,30.456,94.144,3445.38,0.1799999999999999,0.0,1239
2012-01-01 09:15:00,0.0,25.62,26.77,35.953,93.813,3445.38,0.0,0.0,1239
2012-01-01 09:30:00,0.0,25.681,26.82,34.295,93.519,3445.38,0.0,0.0,1239
2012-01-01 09:45:00,0.0,25.711,26.9,39.182,92.463,3445.38,0.067,0.0,1239
2012-01-01 10:00:00,0.0,25.468,26.79,48.083,92.7,3445.38,0.0,0.0,1239
2012-01-01 10:15:00,0.0,25.387,26.76,47.298,92.331,3445.38,0.0,0.019,1239
2012-01-01 10:30:00,0.0,25.408,26.84,51.138,92.5,3445.38,0.0,0.0,1239
2012-01-01 10:45:00,0.0,25.235,26.84,52.97,93.2,3445.38,0.0,0.0,1239
2012-01-01 11:00:00,0.12,25.519,26.77,67.456,92.231,3445.38,0.4719999999999999,0.0,1239
2012-01-01 11:15:00,0.0599999999999999,25.964,26.95,68.94,92.825,3445.42,0.0,0.0,1239
2012-01-01 11:30:00,0.0,26.167,27.25,61.871,92.837,3445.44,0.0,0.0,1239
2012-01-01 11:45:00,0.04,25.58,27.12,57.334,93.188,3445.44,0.0,0.0,1239
2012-01-01 12:00:00,0.1,24.83,26.87,62.046,92.2,3445.46,0.0,0.0,1239
2012-01-01 12:15:00,0.0599999999999999,25.499,27.03,65.1,92.494,3445.48,0.0,0.0,1239
2012-01-01 12:30:00,0.04,25.863,27.3,65.362,92.388,3445.5,0.0,0.0,1239
2012-01-01 12:45:00,0.0,26.248,27.04,55.326,92.238,3445.48,0.0,0.0,1239
2012-01-01 13:00:00,0.0,26.795,27.29,43.371,91.556,3445.5,0.315,0.0,1239
2012-01-01 13:15:00,-0.0599999999999999,26.602,26.98,38.048,89.819,3445.5,0.0,0.0,1239
2012-01-01 13:30:00,-0.1,26.41,26.99,40.84,91.85,3445.48,0.0,0.0,1239
2012-01-01 13:45:00,-0.1,26.106,27.16,32.026,90.775,3445.42,0.225,0.0,1239
2012-01-01 14:00:00,-0.0599999999999999,25.266,27.06,34.034,91.494,3445.4,0.0,0.0,1239
2012-01-01 14:15:00,-0.1,24.709,26.72,32.201,93.313,3445.38,0.0,0.0,1239
2012-01-01 14:30:00,-0.16,24.213,26.62,20.507,92.863,3445.36,0.0,0.0,1239
2012-01-01 14:45:00,-0.1799999999999999,25.347,26.6,12.479,95.038,3445.3,0.0,0.0,1239
2012-01-01 15:00:00,-0.2999999999999999,25.509,26.43,5.672,93.575,3445.24,0.0,0.0,1239
2012-01-01 15:15:00,-0.26,25.266,26.38,8.901,94.169,3445.2,0.0,0.0,1239
2012-01-01 15:30:00,-0.2999999999999999,25.094,25.99,4.189,94.769,3445.14,0.203,0.0,1239
2012-01-01 15:45:00,0.0,24.496,25.98,0.873,96.038,3445.08,0.8549999999999999,0.0,1239
2012-01-01 16:00:00,0.0,25.144,25.95,2.269,95.281,3445.08,0.0,0.0,1239
2012-01-01 16:15:00,0.0,24.638,25.93,1.833,96.275,3445.08,0.023,0.0,1239
2012-01-01 16:30:00,0.0,25.073,25.93,5.498,96.119,3445.08,0.0,0.0,1239
2012-01-01 16:45:00,0.0,24.932,25.79,4.625,96.025,3445.08,0.023,0.0,1239
2012-01-01 17:00:00,0.0,24.274,25.7,0.6109999999999999,97.181,3445.08,0.0899999999999999,0.0,1239
2012-01-01 17:12:32,,24.395,25.63,1.222,96.938,,0.023,0.0,1239
2012-01-01 17:15:00,0.0,24.314,25.58,0.0,97.081,3445.08,0.0,0.0,1239
2012-01-01 17:30:00,0.0,23.879,25.51,0.0,97.575,3445.08,0.023,0.0,1239
2012-01-01 17:45:00,0.0,24.071,25.5,2.007,98.225,3445.08,88.177,0.0,1239
2012-01-01 18:00:00,0.0,23.626,25.49,0.0,98.844,3445.08,95.715,0.0,1239
2012-01-01 18:15:00,0.0,24.182,25.3,0.436,98.138,3445.08,116.55,0.0,1239
2012-01-01 18:30:00,0.0,24.041,25.3,0.262,98.688,3445.08,159.345,0.0,1239
2012-01-01 18:45:00,0.0,23.555,25.22,5.672,98.819,3445.08,95.31,0.0,1239
2012-01-10 06:00:00,0.0,19.576,20.85,1.745,87.131,3493.84,107.303,6.85,1239
2012-01-10 06:15:00,0.0,19.576,20.8,0.0,87.456,3493.84,143.573,3.037,1239
2012-01-10 06:30:00,0.0,19.656,20.82,1.571,88.04399999999998,3493.84,179.483,3.981,1239
2012-01-10 06:45:00,0.0,19.748,20.86,5.149,87.075,3493.84,183.892,3.875,1239
2012-01-10 07:00:00,0.0,19.829,20.86,2.443,87.019,3493.84,153.405,4.1,1239
2012-01-10 07:15:00,0.0,20.375,21.19,5.236,86.17499999999998,3493.84,112.388,2.775,1239
2012-01-10 07:30:00,0.0,20.507,21.23,0.698,85.813,3493.84,196.537,1.831,1239
2012-01-10 07:45:00,0.0,21.003,21.7,0.698,84.188,3493.84,135.36,6.875,1239
2012-01-10 08:00:00,0.0,20.983,22.03,4.189,84.363,3493.84,164.183,4.194,1239
2012-01-10 08:15:00,0.0,21.742,22.95,8.727,82.387,3493.84,181.35,3.475,1239
2012-01-10 08:30:00,0.0,22.441,23.79,12.566,81.744,3493.84,144.99,2.55,1239
2012-01-10 08:45:00,0.0,23.129,24.59,18.326,81.09999999999998,3493.84,175.568,4.513,1239
2012-01-10 09:00:00,0.0,23.706,25.41,36.303,80.025,3493.84,165.082,4.988,1239
2012-01-10 09:15:00,0.0,24.091,25.92,23.649,82.131,3493.84,151.92,2.606,1239
2012-01-10 09:30:00,0.0,24.243,26.94,38.484,85.55599999999998,3493.84,133.268,6.031,1239
2012-01-10 09:45:00,0.0,25.215,27.11,52.01,83.138,3493.84,161.235,9.7,1239
2012-01-10 10:00:00,0.0,25.195,27.24,46.687,81.619,3493.84,168.323,2.963,1239
2012-01-10 10:15:00,0.0,25.448,28.0,62.395,81.331,3493.84,180.068,2.25,1239
2012-01-10 10:30:00,0.0,26.774,28.94,53.407,80.331,3493.84,168.165,2.15,1239
2012-01-10 10:45:00,0.0,26.835,29.48,65.624,80.337,3493.84,152.685,6.719,1239
2012-01-10 11:00:00,0.0,28.394,30.21,68.94,76.875,3493.84,95.985,3.725,1239
2012-01-10 11:15:00,0.0,29.306,30.3,56.723,77.58799999999998,3493.86,189.653,8.580999999999998,1239
2012-01-10 11:30:00,0.0,29.832,30.63,58.642,79.775,3493.86,218.7,6.362,1239
2012-01-10 11:45:00,0.0,29.204,30.31,33.074,82.09399999999998,3493.86,188.595,5.562,1239
2012-01-10 12:00:00,0.0,29.64,30.31,38.833,81.96899999999998,3493.86,200.093,7.918999999999999,1239
2012-01-10 12:15:00,0.0,29.144,30.3,28.536,87.08799999999998,3493.86,211.5,7.156,1239
2012-01-10 12:30:00,0.0,29.69,30.59,44.593,88.79399999999998,3493.86,215.303,7.55,1239
2012-01-10 12:45:00,0.0,29.67,30.84,38.397,87.706,3493.86,208.215,2.869,1239
2012-01-10 13:00:00,0.8599999999999999,30.065,31.22,40.229,87.119,3493.92,213.12,9.381,1239
2012-01-10 13:15:00,0.5,30.257,31.06,27.576,87.738,3494.1,212.805,8.199999999999998,1239
2012-01-10 13:30:00,0.6999999999999998,30.126,31.02,40.753,87.131,3494.24,208.71,6.069,1239
2012-01-10 13:45:00,2.02,30.774,31.86,122.521,84.569,3494.58,188.145,6.45,1239
2012-01-10 14:00:00,1.1,30.754,31.98,49.305,83.613,3494.94,175.928,4.444,1239
2012-01-10 14:15:00,1.56,30.521,31.76,96.952,84.9,3495.18,252.045,4.775,1239
2012-01-10 14:30:00,0.32,31.179,31.43,24.434,84.781,3495.38,258.188,8.681,1239
2012-01-10 14:45:00,0.28,30.683,31.33,19.46,86.625,3495.46,228.87,6.3,1239
2012-01-10 15:00:00,0.02,30.632,30.92,19.024,86.375,3495.52,208.327,7.381,1239
