system_id,timestamp,ac_power,poa_irradiance,ambient_temp,sin_hora,cos_hora,sin_dia_anual,cos_dia_anual,max_ac_power_system,global_max_ac_power_system,ac_power_norm,experiment,predicted_ac_power_norm,predicted_ac_power,residual_ac_power_norm,residual_ac_power,target
1239,2019-08-31 06:00:00,280.0,55.13025,11.747224562000005,1.0,6.123233995736766e-17,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.01509433962264151,regresion_individual_normalizada,0.03820544799159627,708.7110602441107,-0.023111108368954757,-428.71106024411074,ac_power_norm
1239,2019-08-31 07:00:00,2855.0,203.21975,15.266947065800004,0.9659258262890684,-0.2588190451025206,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.15390835579514825,regresion_individual_normalizada,0.18659654677012663,3461.365942585849,-0.03268819097497838,-606.3659425858491,ac_power_norm
1239,2019-08-31 08:00:00,6860.0,377.35825,16.932086087900004,0.8660254037844387,-0.4999999999999998,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.36981132075471695,regresion_individual_normalizada,0.3622121984591304,6719.036281416868,0.007599122295586569,140.9637185831316,ac_power_norm
1239,2019-08-31 09:00:00,10375.0,449.9938,19.347225170000005,0.7071067811865476,-0.7071067811865475,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.5592991913746631,regresion_individual_normalizada,0.44627271294151744,8278.358825065148,0.11302647843314567,2096.6411749348517,ac_power_norm
1239,2019-08-31 10:00:00,12405.0,614.0664999999999,21.1465308695,0.4999999999999999,-0.8660254037844387,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.668733153638814,regresion_individual_normalizada,0.6169121953246992,11443.72122327317,0.05182095831411482,961.2787767268292,ac_power_norm
1239,2019-08-31 11:00:00,9600.0,507.8205,21.47139200660001,0.258819045102521,-0.9659258262890682,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.5175202156334232,regresion_individual_normalizada,0.5272461130089621,9780.415396316246,-0.009725897375538861,-180.4153963162462,ac_power_norm
1239,2019-08-31 12:00:00,5580.0,302.9425,20.8441697342,1.2246467991473532e-16,-1.0,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.3008086253369272,regresion_individual_normalizada,0.33271242352993763,6171.815456480343,-0.031903798193010424,-591.8154564803426,ac_power_norm
1239,2019-08-31 13:00:00,12200.0,613.39,20.3463919166,-0.2588190451025208,-0.9659258262890684,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.6576819407008087,regresion_individual_normalizada,0.638985363660634,11853.17849590476,0.01869657704017469,346.82150409524,ac_power_norm
1239,2019-08-31 14:00:00,6395.0,334.7725,20.512503041,-0.4999999999999997,-0.8660254037844388,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.34474393530997305,regresion_individual_normalizada,0.35995945529004303,6677.247895630298,-0.01521551998006998,-282.24789563029844,ac_power_norm
1239,2019-08-31 15:00:00,6225.0,331.84925,20.8036141754,-0.7071067811865471,-0.7071067811865479,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.33557951482479786,regresion_individual_normalizada,0.3483418349766692,6461.741038817214,-0.012762320151871342,-236.74103881721385,ac_power_norm
