test_system,train_systems,model,strategy,n_train,n_test,daylight_rows_test,mae_normalized,rmse_normalized,r2_normalized,mae_W,rmse_W,pct_prediction_lt_0,pct_prediction_gt_1,daylight_mae_normalized,daylight_rmse_normalized,daylight_r2_normalized,daylight_mae_W,daylight_rmse_W
10,"[34, 1239, 1430]",mean_global,24h_model,5455,4492,3583,0.2733177207649203,0.3070547579259517,-0.0003811869663163936,306.1158472567107,343.9013288770659,0.0,0.0,0.2771954679215801,0.31465887954271116,-0.03156448961217384,310.4589240721697,352.4179450878365
10,"[34, 1239, 1430]",linear_ridge,24h_model,5455,4492,3583,0.16202742691703093,0.21326878185710205,0.51739876391212,181.47071814707462,238.8610356799543,7.836153161175423,0.0,0.1823299834271043,0.2306367120230046,0.4457913803868697,204.20958143835685,258.3131174657651
10,"[34, 1239, 1430]",linear,24h_model,5455,4492,3583,0.16156708157160315,0.21272238577702818,0.519868451521597,180.95513136019554,238.24907207027158,7.724844167408727,0.0,0.18190244346858397,0.23016334508818578,0.4480640004839469,203.73073668481405,257.78294649876807
10,"[34, 1239, 1430]",random_forest,24h_model,5455,4492,3583,0.1570404538378671,0.21381501506588946,0.5149234798342261,175.8853082984112,239.47281687379618,2.292965271593945,0.0,0.18149269572595222,0.23392888866595166,0.42985658181172137,203.27181921306646,262.00035530586587
10,"[34, 1239, 1430]",hist_gradient_boosting,24h_model,5455,4492,3583,0.1564097791329299,0.21445702859598606,0.512006067869302,175.1789526288815,240.1918720275044,2.983081032947462,0.0,0.18022961802860882,0.23452480808661622,0.42694807148931846,201.8571721920419,262.6677850570101
10,"[34, 1239, 1430]",mean_global,daylight_model_night_zero,5455,4492,3583,0.23684363845059014,0.2845692782407305,0.14076911774144318,265.264875064661,318.71759162961825,0.0,0.0,0.2766477463108119,0.31006929614347195,-0.0016913575147434745,309.84547586810936,347.27761168068855
10,"[34, 1239, 1430]",linear_ridge,daylight_model_night_zero,5455,4492,3583,0.1625727751356199,0.21713296207666014,0.49975199296524164,182.0815081518943,243.18891752585935,4.140694568121104,0.0,0.1835345121464674,0.23179013117999672,0.440234301058091,205.5586536040435,259.6049469215963
10,"[34, 1239, 1430]",linear,daylight_model_night_zero,5455,4492,3583,0.16252412402272218,0.21701651839187877,0.5002883933476553,182.0270189054488,243.05850059890423,4.207479964381122,0.0,0.18347351834263356,0.23165337361320854,0.44089463643511717,205.49034054374957,259.4517784467935
10,"[34, 1239, 1430]",random_forest,daylight_model_night_zero,5455,4492,3583,0.1598950440131103,0.21830796463803917,0.4943232170930326,179.08244929468353,244.5049203946039,0.17809439002671415,0.0,0.18017744594431467,0.23316970694626207,0.4335512096959344,201.79873945763248,261.1500717798135
10,"[34, 1239, 1430]",hist_gradient_boosting,daylight_model_night_zero,5455,4492,3583,0.1595812729147192,0.22162457754267495,0.4788416568273667,178.73102566448551,248.21952684779595,1.313446126447017,0.0,0.1797840717400242,0.2370598350571437,0.4144926439861518,201.35816034882714,265.5070152640009
