system_id,timestamp,ac_power,poa_irradiance,ambient_temp,sin_hora,cos_hora,sin_dia_anual,cos_dia_anual,max_ac_power_system,global_max_ac_power_system,ac_power_norm,predicted_ac_power_norm,predicted_ac_power,residual_ac_power_norm,residual_ac_power,experiment,target
1239,2019-08-31 06:00:00,280.0,55.13025,11.747224562000005,1.0,6.123233995736766e-17,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.01509433962264151,0.05266355676505999,976.9089779918628,-0.03756921714241848,-696.9089779918628,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 07:00:00,2855.0,203.21975,15.266947065800004,0.9659258262890684,-0.2588190451025206,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.15390835579514825,0.1986913920516359,3685.725322557846,-0.04478303625648766,-830.7253225578461,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 08:00:00,6860.0,377.35825,16.932086087900004,0.8660254037844387,-0.4999999999999998,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.36981132075471695,0.3658920915502437,6787.298298257021,0.00391922920447324,72.70170174297891,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 09:00:00,10375.0,449.9938,19.347225170000005,0.7071067811865476,-0.7071067811865475,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.5592991913746631,0.4458669468809143,8270.83186464096,0.11343224449374878,2104.1681353590393,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 10:00:00,12405.0,614.0664999999999,21.1465308695,0.4999999999999999,-0.8660254037844387,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.668733153638814,0.6004342457031981,11138.055257794325,0.06829890793561588,1266.9447422056746,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 11:00:00,9600.0,507.8205,21.47139200660001,0.258819045102521,-0.9659258262890682,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.5175202156334232,0.5254546867442167,9747.18443910522,-0.007934471110793484,-147.18443910522,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 12:00:00,5580.0,302.9425,20.8441697342,1.2246467991473532e-16,-1.0,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.3008086253369272,0.34561082492260364,6411.080802314297,-0.04480219958567644,-831.0808023142972,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 13:00:00,12200.0,613.39,20.3463919166,-0.2588190451025208,-0.9659258262890684,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.6576819407008087,0.6261587442037109,11615.244704978837,0.03152319649709778,584.755295021163,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 14:00:00,6395.0,334.7725,20.512503041,-0.4999999999999997,-0.8660254037844388,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.34474393530997305,0.372638029655757,6912.4354501142925,-0.027894094345783937,-517.4354501142925,regresion_conjunta_normalizada,ac_power_norm
1239,2019-08-31 15:00:00,6225.0,331.84925,20.8036141754,-0.7071067811865471,-0.7071067811865479,-0.8631421280499115,-0.5049610547215202,18550.0,18550.0,0.33557951482479786,0.3613716424785419,6703.443967976953,-0.025792127653744057,-478.443967976953,regresion_conjunta_normalizada,ac_power_norm
