system_id,experiment,scale,mae,rmse,r2
1239,regresion_conjunta_normalizada,normalized,0.06087046490162155,0.0796641459448124,0.8869361122341491
1239,regresion_conjunta_normalizada,watts,1129.1471239250795,1477.76990727627,0.8869361122341491
1239,regresion_individual_ac_power,watts,936.7435455838862,1336.434567024839,0.9075289736000522
1239,regresion_individual_normalizada,normalized,0.05049830434376425,0.07204499013590525,0.9075289736005776
1239,regresion_individual_normalizada,watts,936.7435455768268,1336.4345670210425,0.9075289736005776
1430,regresion_conjunta_normalizada,normalized,0.030618034950308865,0.03681545894441254,0.9850595835650826
1430,regresion_conjunta_normalizada,watts,10.190600564856789,12.25328919126496,0.9850595835650826
1430,regresion_individual_ac_power,watts,18.552365036097466,22.311415956481742,0.9504650645168873
1430,regresion_individual_normalizada,normalized,0.05574126445945984,0.0670354714816855,0.9504650645168483
1430,regresion_individual_normalizada,watts,18.5523650361067,22.311415956490517,0.9504650645168483
