experiment,scale,mae,rmse,r2,systems
regresion_conjunta_normalizada,normalized,0.04574424992596521,0.058239802444612465,0.9359978478996158,2
regresion_conjunta_normalizada,watts,569.6688622449682,745.0115982337675,0.9359978478996158,2
regresion_individual_ac_power,watts,477.64795530999186,679.3729914906604,0.9289970190584698,2
regresion_individual_normalizada,normalized,0.05311978440161204,0.06954023080879537,0.9289970190587129,2
regresion_individual_normalizada,watts,477.64795530646677,679.3729914887665,0.9289970190587129,2
