experiment,system_id,target,scale,n_train,n_test,mae,rmse,r2,max_ac_power
regresion_conjunta_normalizada,1239,ac_power_norm,normalized,1976,494,0.06087046490162155,0.0796641459448124,0.8869361122341491,18550.0
regresion_conjunta_normalizada,1239,ac_power,watts,1976,494,1129.1471239250795,1477.76990727627,0.8869361122341491,18550.0
regresion_conjunta_normalizada,1430,ac_power_norm,normalized,1274,318,0.030618034950308865,0.03681545894441254,0.9850595835650826,332.82999975
regresion_conjunta_normalizada,1430,ac_power,watts,1274,318,10.190600564856789,12.25328919126496,0.9850595835650826,332.82999975
regresion_individual_normalizada,1239,ac_power_norm,normalized,1976,494,0.05049830434376425,0.07204499013590525,0.9075289736005776,18550.0
regresion_individual_normalizada,1239,ac_power,watts,1976,494,936.7435455768268,1336.4345670210425,0.9075289736005776,18550.0
regresion_individual_normalizada,1430,ac_power_norm,normalized,1274,318,0.05574126445945984,0.0670354714816855,0.9504650645168483,332.82999975
regresion_individual_normalizada,1430,ac_power,watts,1274,318,18.5523650361067,22.311415956490517,0.9504650645168483,332.82999975
regresion_individual_ac_power,1239,ac_power,watts,1976,494,936.7435455838862,1336.434567024839,0.9075289736000522,15395.0
regresion_individual_ac_power,1430,ac_power,watts,1274,318,18.552365036097466,22.311415956481742,0.9504650645168873,307.018333
