experiment,test_system,train_systems,capacity_source,target_mode,baseline_media_mae,baseline_media_rmse,baseline_media_r2,linear_mae,linear_rmse,linear_r2,poly_mae,poly_rmse,poly_r2,mae_w,rmse_w,r2,nmae,nrmse,n_samples,train_n,test_n,status
leave_one_system_out,10,"[np.int64(34), np.int64(1239), np.int64(1430)]",max_ac,normalized_power,0.2752937812131231,0.304411810377231,-0.03384414369351063,0.08482318244950035,0.8560467951053617,-7.175740295626168,0.23927240890051557,9.91438200298413,-1095.6382074354283,274.7955883005825,11386.304203087162,-1095.6382074354276,0.2392724089005156,9.914382002984128,4492,5455,4492,ok
leave_one_system_out,34,"[np.int64(10), np.int64(1239), np.int64(1430)]",max_ac,normalized_power,0.28876110828882523,0.3182384853445034,-0.0001503910661078134,0.6883514275562397,0.7263868387519727,-4.210697301402559,0.5792173652997914,0.7295536247507867,-4.256229879779815,661.3214268310368,832.9678510592108,-4.2562298797798155,0.5792173652997914,0.7295536247507868,1393,8554,1393,ok
leave_one_system_out,1239,"[np.int64(10), np.int64(34), np.int64(1430)]",max_ac,normalized_power,0.24044144675819318,0.27439942478718315,-0.008317026504753855,0.16492862719645887,0.20639747611040993,0.42952124965241456,0.08382529660800936,0.11183400920854004,0.8325140054643679,1554.9592520785736,2074.5208708184177,0.8325140054643679,0.08382529660800936,0.11183400920854004,2470,7477,2470,ok
leave_one_system_out,1430,"[np.int64(10), np.int64(34), np.int64(1239)]",max_ac,normalized_power,0.3113262838771764,0.3602203802164587,-0.17662359701685237,0.23440708182508563,0.28253333351836774,0.2761636641257065,0.11877068323315275,0.15696416559339854,0.7765903003536445,39.53044647079757,52.2423831952098,0.7765903003536445,0.11877068323315278,0.15696416559339854,1592,8355,1592,ok
