feature_set,model,mae_normalized,rmse_normalized,r2_normalized,pct_prediction_lt_0,pct_prediction_gt_1,mae_W,rmse_W,r2_W
A_with_geography,linear_scaled,6.910233556107312,7.089758178168355,-1848.9768011202357,52.05755234319415,0.011130899376669634,392355.7003091229,400561.4480978899,-1848.9768011202357
A_with_geography,mean_global,0.2542799685576542,0.28687811546632674,-0.06265777843147069,0.0,0.0,61320.682114030315,70160.30711672672,-0.06265777843147075
A_with_geography,polynomial_degree_2,4.047047470943724,5.1890177901965435,-945.6178796065295,31.889606594856936,18.93553841898579,231763.84060946398,278390.03187901253,-945.6178796065294
B_without_geography,linear_scaled,0.1436101965968242,0.33930573364716454,-0.9141160932548722,10.055394936788153,0.005565449688334817,41660.60114154885,51365.04316753883,-0.9141160932548722
B_without_geography,mean_global,0.2542799685576542,0.28687811546632674,-0.06265777843147069,0.0,0.0,61320.682114030315,70160.30711672672,-0.06265777843147075
B_without_geography,polynomial_degree_2,0.15830470994243714,2.0444131819291664,-153.9849389524232,16.147621437982473,0.0,27564.584300715727,38111.86168003057,-153.98493895242314
