system_id,timestamp,ac_power,poa_irradiance,ambient_temp,sin_hora,cos_hora,sin_dia_anual,cos_dia_anual,experiment,predicted_ac_power,residual_ac_power,target
1239,2019-08-31 06:00:00,280.0,55.13025,11.747224562000005,1.0,6.123233995736766e-17,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,708.7110602557548,-428.7110602557548,ac_power
1239,2019-08-31 07:00:00,2855.0,203.21975,15.266947065800004,0.9659258262890684,-0.2588190451025206,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,3461.3659425952965,-606.3659425952965,ac_power
1239,2019-08-31 08:00:00,6860.0,377.35825,16.932086087900004,0.8660254037844387,-0.4999999999999998,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,6719.036281420518,140.9637185794818,ac_power
1239,2019-08-31 09:00:00,10375.0,449.9938,19.347225170000005,0.7071067811865476,-0.7071067811865475,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,8278.35882506535,2096.64117493465,ac_power
1239,2019-08-31 10:00:00,12405.0,614.0664999999999,21.1465308695,0.4999999999999999,-0.8660254037844387,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,11443.721223263363,961.2787767366372,ac_power
1239,2019-08-31 11:00:00,9600.0,507.8205,21.47139200660001,0.258819045102521,-0.9659258262890682,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,9780.415396313272,-180.41539631327214,ac_power
1239,2019-08-31 12:00:00,5580.0,302.9425,20.8441697342,1.2246467991473532e-16,-1.0,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,6171.815456486892,-591.8154564868919,ac_power
1239,2019-08-31 13:00:00,12200.0,613.39,20.3463919166,-0.2588190451025208,-0.9659258262890684,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,11853.178495894994,346.82150410500617,ac_power
1239,2019-08-31 14:00:00,6395.0,334.7725,20.512503041,-0.4999999999999997,-0.8660254037844388,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,6677.247895635683,-282.24789563568265,ac_power
1239,2019-08-31 15:00:00,6225.0,331.84925,20.8036141754,-0.7071067811865471,-0.7071067811865479,-0.8631421280499115,-0.5049610547215202,regresion_individual_ac_power,6461.741038822706,-236.7410388227063,ac_power
